clubs,score
Olympique Lyonnais,100
LOSC Lille,100
OGC Nice,100
RC Celta,87.5
Atalanta,82.5
FC Nantes,75
Sevilla FC,75
Bologna,75
Bournemouth,75
Real Betis,75
1. FSV Mainz 05,70.83333333
SD Eibar,70.83333333
FC Girondins de Bordeaux,68.33333333
Tottenham Hotspur,67.5
Valencia CF,63.33333333
Angers SCO,60
Juventus,50
Atlético Madrid,50
Leicester City,50
VfL Wolfsburg,50
Udinese,50
Athletic Club de Bilbao,50
Hertha BSC,50
Southampton,50
SV Werder Bremen,50
Napoli,50
FC Augsburg,50
Genoa,50
Manchester City,50
Torino,50
RCD Espanyol,50
Arsenal,50
Real Sociedad,50
Stade Rennais FC,50
Borussia Mönchengladbach,50
AS Monaco,50
Villarreal CF,50
Sassuolo,50
Bayer 04 Leverkusen,50
AS Saint-Étienne,50
TSG 1899 Hoffenheim,50
Real Madrid,50
Fiorentina,50
Paris Saint-Germain,50
Lazio,45
Sampdoria,41.66666667
FC Barcelona,40
Watford,33.33333333
West Ham United,33.33333333
Everton,25
FC Bayern München,25
FC Schalke 04,25
Chelsea,25
Borussia Dortmund,22.5
Liverpool,18.75
Manchester United,16.66666667
Inter,13.33333333
Crystal Palace,0
Roma,0
Milan,0